forecast_month,gdp_growth_point,gdp_growth_lower,gdp_growth_upper,cpi_change_point,cpi_change_lower,cpi_change_upper,yield_spread_point,yield_spread_lower,yield_spread_upper
73,0.614489318911564,-0.6961397320087935,1.9251183698319214,0.2722295773761405,-0.20300865766722265,0.7474678124195037,1.054459879228855,0.13194460870609082,1.9769751497516195
74,0.6144269529305421,-0.6962020979898155,1.9250560038508997,0.2722173824820281,-0.20302085256133506,0.7474556175253912,1.0551709991005114,0.1326557285777471,1.9776862696232755
75,0.6143690717810399,-0.6962599791393176,1.9249981227013975,0.27220606454109747,-0.20303217050226569,0.7474442995844606,1.0558309812723743,0.13331571074961002,1.9783462517951387
76,0.6143153529520762,-0.6963136979682814,1.9249444038724337,0.2721955604903261,-0.20304267455303704,0.7474337955336893,1.0564435031333685,0.13392823261060427,1.978958773656133
77,0.6142654971249187,-0.6963635537954388,1.9248945480452764,0.27218581180164825,-0.2030524232417149,0.7474240468450114,1.0570119776258489,0.1344967071030846,1.9795272481486132
78,0.6142192265052964,-0.6964098244150612,1.924848277425654,0.2721767641558393,-0.20306147088752385,0.7474149991992025,1.0575395722623508,0.13502430173958657,1.980054842785115
79,0.6141762832755414,-0.6964527676448161,1.924805334195899,0.27216836713985193,-0.20306986790351123,0.7474066021832151,1.0580292267748181,0.13551395625205387,1.9805444972975823
80,0.6141364281580427,-0.6964926227623148,1.9247654790784003,0.27216057396591686,-0.2030776610774463,0.74739880900928,1.0584836694946482,0.13596839897188395,1.9809989400174124
81,0.6140994390820023,-0.6965296118383553,1.9247284900023598,0.27215334121084367,-0.2030848938325195,0.7473915762542068,1.0589054325548228,0.13639016203205856,1.9814207030775872
82,0.6140651099460669,-0.6965639409742906,1.9246941608664243,0.2721466285740689,-0.20309160646929425,0.7473848636174321,1.0592968659988315,0.13678159547606727,1.981812136521596
83,0.6140332494699421,-0.6965958014504154,1.9246623003902996,0.27214039865310324,-0.2030978363902599,0.7473786336964664,1.0596601508750014,0.13714488035223715,1.9821754213977658
84,0.614003680128587,-0.6966253707917706,1.9246327310489444,0.27213461673512657,-0.2031036183082366,0.7473728517784897,1.0599973113891932,0.1374820408664289,1.9825125819119576
